闻喜运城,#genre#
闻喜综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.flv
闻喜综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.m3u8
运城综合,http://192.168.5.1:5277/udp/224.30.30.223:8242
运城综合,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225988/index.m3u8
运城综合,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
运城公共,http://192.168.5.1:5277/udp/224.30.30.224:8243
运城公共,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225985/index.m3u8
运城公共,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
运城科教,http://192.168.5.1:5277/udp/224.30.30.225:8244
运城科教,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226044/index.m3u8
运城科教,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
央视列表,#genre#
CCTV1,http://192.168.5.1:5277/udp/224.30.30.226:8245
CCTV2,http://192.168.5.1:5277/udp/224.30.30.1:8020
CCTV3,http://192.168.5.1:5277/udp/224.30.30.121:8140
CCTV4,http://192.168.5.1:5277/udp/224.30.30.4:8023
CCTV5,http://192.168.5.1:5277/udp/224.30.30.122:8141
CCTV5+,http://192.168.5.1:5277/udp/224.30.30.5:8024
CCTV6,http://192.168.5.1:5277/udp/224.30.30.123:8142
CCTV7,http://192.168.5.1:5277/udp/224.30.30.2:8021
CCTV8,http://192.168.5.1:5277/udp/224.30.30.124:8143
CCTV9,http://192.168.5.1:5277/udp/224.30.30.3:8022
CCTV10,http://192.168.5.1:5277/udp/224.30.30.17:8036
CCTV11,http://192.168.5.1:5277/udp/224.30.30.45:8064
CCTV12,http://192.168.5.1:5277/udp/224.30.30.18:8037
CCTV13,http://192.168.5.1:5277/udp/224.30.30.227:8246
CCTV14,http://192.168.5.1:5277/udp/224.30.30.19:8038
CCTV15,http://192.168.5.1:5277/udp/224.30.30.46:8065
CCTV16,http://192.168.5.1:5277/udp/224.30.30.207:8226
CCTV17,http://192.168.5.1:5277/udp/224.30.30.148:8167
CCTV1,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226032/index.m3u8
CCTV2,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226217/index.m3u8
CCTV3,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225885/index.m3u8
CCTV4,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225958/index.m3u8
CCTV5,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226088/index.m3u8
CCTV5+,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226199/index.m3u8
CCTV6,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225826/index.m3u8
CCTV7,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226035/index.m3u8
CCTV8,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225888/index.m3u8
CCTV9,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225961/index.m3u8
CCTV10,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226220/index.m3u8
CCTV11,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225703/index.m3u8
CCTV12,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225771/index.m3u8
CCTV13,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226041/index.m3u8
CCTV14,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225974/index.m3u8
CCTV15,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225971/index.m3u8
CCTV16,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225949/index.m3u8
CCTV17,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225706/index.m3u8
